aglow	2.29	2.69
agnostic	2.0	2.59
agnostically	1.2	1.29
agnosticism	1.71	1.29
ago	1.42	5.46
agonistic	1.78	1.29
agonize	1.97	2.07
agonizing	2.0	2.86
agonizingly	1.8	1.29
agony	2.38	3.58
agoraphobia	1.92	2.2
agoraphobic	2.5	2.29
agree	2.31	4.81
agreeability	1.75	1.29
agreeable	2.07	3.21
agreeableness	2.26	1.29
agreeably	2.03	1.89
agreed	1.93	4.56
agreeing	2.48	3.32
agreement	2.22	4.24
agricultural	3.29	2.98
agriculturalist	4.07	1.77
agriculturally	2.4	1.29
agriculture	3.67	3.05
agriculturist	3.04	1.29
aground	3.22	2.71
ahead	3.0	5.3
ahem	2.58	3.89
ahoy	2.0	3.57
aid	3.1	4.14
aide	3.59	3.31
aides	3.75	2.81
aidless	2.04	1.29
aids	3.44	3.03
ailing	2.81	2.72
ailment	2.93	2.72
aim	3.27	4.17
aiming	3.0	3.58
aimless	1.57	2.47
aimlessly	1.86	2.63
aimlessness	1.62	1.29
air	4.11	5.14
airbag	4.81	2.61
airbase	4.29	2.07
airbed	4.56	1.29
airboat	4.82	1.99
airborne	3.45	3.63
airbrush	4.45	2.29
aircraft	4.4	3.98
aircraftman	3.96	1.29
aircraftsman	4.0	1.59
aircrew	4.04	1.89
airfare	3.93	2.41
airfield	4.7	3.37
airflow	3.59	2.2
airforce	3.81	1.29
airfreight	4.04	1.29
airhead	2.48	2.74
airiness	2.24	1.59
airing	2.61	2.81
airless	3.0	2.07
airlift	3.62	2.47
airline	4.0	3.81
airliner	4.45	2.77
airmail	3.66	2.55
airman	4.25	2.78
airmanship	2.5	1.29
airpark	3.88	1.29
airplane	4.96	4.04
airplay	3.19	2.37
airport	4.87	4.58
airpower	3.23	1.29
airproof	2.57	1.29
airshaft	4.43	1.29
airship	4.92	2.78
airshow	4.44	1.29
airsick	3.5	2.52
airsickness	3.27	1.77
airspace	3.58	3.21
airspeed	3.04	2.69
airstream	3.93	2.25
airstrike	3.59	2.2
airstrip	4.68	3.06
airtight	3.42	3.06
airtime	2.5	2.44
airwave	3.11	1.59
airway	4.34	3.22
airworthiness	2.07	1.29
airy	2.04	2.52
aisle	4.35	3.87
ajar	3.27	2.67
akin	1.71	2.47
alabaster	3.81	2.84
alarm	4.47	4.48
alarmclock	4.97	1.29
alarmed	3.14	3.47
alarming	2.07	3.06
alarmingly	2.14	2.25
alarmist	2.62	2.55
alas	1.56	3.58
albacore	3.71	2.25
albatross	4.81	2.91
albeit	1.46	2.88
albino	4.41	3.07
album	4.69	4.01
alchemic	2.73	1.29
alchemically	2.08	1.59
alchemist	4.23	2.47
alchemy	2.1	2.37
alcohol	4.76	4.22
alcoholic	3.37	3.79
alcoholically	2.4	1.29
alcoholism	2.93	2.94
alcove	4.08	2.69
alderwoman	3.92	1.29
ale	4.65	3.6
alehouse	4.4	1.59
alert	2.59	4.31
alertly	2.07	1.77
alertness	2.15	1.99
alfalfa	4.69	2.82
algae	4.93	2.65
algebra	3.14	3.25
algebraic	2.62	1.89
algebraically	2.29	1.29
algorithm	3.07	2.74
alias	2.86	3.61
alibi	2.57	3.92
alien	3.52	4.24
alienability	1.84	1.29
alienable	1.82	1.29
alienate	1.83	2.77
alienation	1.73	2.65
alienator	2.08	1.29
aliens	3.86	3.98
alight	2.96	2.63
align	2.79	2.84
alignment	3.26	3.12
alike	2.38	4.06
alikeness	2.23	1.29
alimony	3.08	3.42
alive	3.14	5.19
aliveness	2.36	1.29
alkaline	3.48	2.52
alkalinity	2.84	1.29
alkalinize	2.4	1.59
alkalization	2.36	1.29
